Poser Unique ID,Poser No,Chapter,Poser Text,Dais Conclusion,Resource Material
UID-101,1.1,1. Board Meetings,"Can a director participate in a board meeting via video conferencing if the agenda includes the approval of the annual financial statements?","No. While video conferencing is generally allowed, certain restricted items, including the approval of the annual financial statements and Board's report, require physical presence unless a quorum is already physically present.","Section 173(2) of the Companies Act, 2013 read with Rule 4 of the Companies (Meetings of Board and its Powers) Rules, 2014."
UID-102,1.2,1. Board Meetings,"Is it mandatory to record the proceedings of a board meeting held through electronic mode, and how long should the recordings be preserved?","Yes, it is mandatory. The company must record the proceedings and store them securely until the time of completion of the audit of that particular year, after which they may be destroyed.","Rule 3(3) of the Companies (Meetings of Board and its Powers) Rules, 2014."
UID-103,1.3,1. Board Meetings,"If an independent director fails to attend any board meetings for 12 consecutive months, but attends a general meeting, do they vacate their office?","Yes, the office of the director becomes vacant. The law specifically mandates attendance at meetings of the Board of Directors. Attending a general meeting does not cure the defect of absence from board meetings.","Section 167(1)(b) of the Companies Act, 2013."
UID-104,2.1,2. General Meetings,"Can a private limited company hold its Annual General Meeting (AGM) on a national holiday if all shareholders agree?","No. An AGM must be called during business hours on a day that is not a National Holiday. Consent of shareholders cannot override this specific statutory prohibition.","Section 96(2) of the Companies Act, 2013."
UID-105,2.2,2. General Meetings,"If a company fails to hold its AGM within the prescribed time, can the National Company Law Tribunal (NCLT) call the meeting?","Yes. If default is made in holding the AGM, the NCLT may, on the application of any member of the company, call or direct the calling of an AGM and give such ancillary or consequential directions as it thinks expedient.","Section 97 of the Companies Act, 2013."
UID-106,2.3,2. General Meetings,"Is an explanatory statement required for 'ordinary business' transacted at an AGM?","No. An explanatory statement is only required to be annexed to the notice for 'special business'. The four items of ordinary business (accounts, dividend, directors, and auditors) do not require it.","Section 102(1) of the Companies Act, 2013."
UID-107,3.1,3. CSR Compliance,"A company makes a donation to a political party. Can this be claimed as CSR expenditure if the party uses it for social welfare?","Absolutely not. Direct or indirect contributions to any political party are strictly prohibited from being considered as Corporate Social Responsibility (CSR) activities.","Section 135 of the Companies Act, 2013 and Rule 4(1) of the Companies (CSR Policy) Rules, 2014."
UID-108,3.2,3. CSR Compliance,"If a company fails to spend the required 2% CSR amount, what happens to the unspent funds at the end of the financial year?","If the unspent amount relates to an ongoing project, it must be transferred to a special 'Unspent CSR Account' within 30 days. If it does not relate to an ongoing project, it must be transferred to a Fund specified in Schedule VII within 6 months.","Section 135(5) and 135(6) of the Companies Act, 2013."
UID-109,4.1,4. SEBI LODR,"Must a listed entity intimate stock exchanges about a board meeting where a dividend declaration is to be considered? If so, what is the timeline?","Yes, prior intimation is mandatory. The listed entity must give notice to the stock exchange at least two working days in advance, excluding the date of the intimation and the date of the meeting.","Regulation 29(1)(a) of SEBI (Listing Obligations and Disclosure Requirements) Regulations, 2015."
UID-110,4.2,4. SEBI LODR,"Can the roles of Chairperson and Managing Director/CEO be held by the same individual in a top 500 listed entity?","Compliance requires separation. For the top 500 listed entities, the Chairperson of the board shall be a non-executive director and not be related to the Managing Director or CEO.","Regulation 17(1B) of SEBI (LODR) Regulations, 2015."
